number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
0,0.7973101129407708,2026-03-04 09:05:32.588209,2026-03-04 09:13:52.317719,0 days 00:08:19.729510,64,0.07986412707473606,128,0.0024754962392573104,4,0.0009925251031460023,COMPLETE
1,0.7947236830761273,2026-03-04 09:13:52.318671,2026-03-04 09:23:57.763734,0 days 00:10:05.445063,64,0.11021198287051581,512,0.005124975197419593,4,1.4140269121309572e-06,COMPLETE
2,0.7597206655746185,2026-03-04 09:23:57.764925,2026-03-04 09:31:22.612733,0 days 00:07:24.847808,64,0.30407548487837993,64,0.00014616632828723874,3,0.00017821246219824357,COMPLETE
3,0.8091214759893094,2026-03-04 09:31:22.613609,2026-03-04 09:38:27.922824,0 days 00:07:05.309215,64,0.07559938821490297,512,0.0012697114153475389,2,1.9873325070530543e-05,COMPLETE
4,0.7769635313389085,2026-03-04 09:38:27.923833,2026-03-04 09:44:52.003946,0 days 00:06:24.080113,64,0.3617975009796086,64,0.0019879046887821966,2,0.0002731350392380621,COMPLETE
5,0.7410983705491853,2026-03-04 09:44:52.004809,2026-03-04 09:46:28.962810,0 days 00:01:36.958001,64,0.22018998227742392,64,0.0009223479642930512,3,0.00029171269334588083,PRUNED
6,0.7398913699456849,2026-03-04 09:46:28.963942,2026-03-04 09:48:05.602105,0 days 00:01:36.638163,128,0.34771217349386335,512,0.009169928677819707,4,0.00011111830327890134,PRUNED
7,0.7484265884990086,2026-03-04 09:48:05.603075,2026-03-04 09:48:56.995956,0 days 00:00:51.392881,256,0.03607039761652919,128,0.008842956971752988,4,0.0005306136509409432,PRUNED
8,0.7185964307267868,2026-03-04 09:48:56.996855,2026-03-04 09:49:55.284239,0 days 00:00:58.287384,128,0.33063152078234304,64,0.0003857817616584251,3,0.00042935863701439,PRUNED
9,0.717303215794465,2026-03-04 09:49:55.285278,2026-03-04 09:50:48.034144,0 days 00:00:52.748866,256,0.12902206924111637,128,0.0007408737780624436,6,0.00013089100718234318,PRUNED
10,0.7050607811018191,2026-03-04 09:50:48.035023,2026-03-04 09:52:08.242383,0 days 00:01:20.207360,128,0.4959222743987608,256,0.00026092810925210124,6,7.97921365129197e-06,PRUNED
11,0.8083455470299163,2026-03-04 09:52:08.243195,2026-03-04 09:58:32.420643,0 days 00:06:24.177448,64,0.025877526195460486,128,0.00227498606188195,2,2.4362760482254424e-05,COMPLETE
12,0.8106733339080955,2026-03-04 09:58:32.421502,2026-03-04 10:05:37.564595,0 days 00:07:05.143093,64,0.011322430461880915,512,0.0024312162278892087,2,2.424573195946095e-05,COMPLETE
13,0.814035692732132,2026-03-04 10:05:37.565469,2026-03-04 10:12:41.687543,0 days 00:07:04.122074,64,0.19654720312518728,512,0.0037783357506176386,2,1.8373216450043956e-05,COMPLETE
14,0.7974825415984137,2026-03-04 10:12:41.688485,2026-03-04 10:18:38.786563,0 days 00:05:57.098078,64,0.1772819850593827,512,0.0037308991311843977,2,4.718510621953208e-06,PRUNED
15,0.7311837227347185,2026-03-04 10:18:38.787472,2026-03-04 10:20:18.316811,0 days 00:01:39.529339,256,0.2553152178770454,512,0.0055486541634933596,5,5.5085417176962116e-05,PRUNED
16,0.740667298905078,2026-03-04 10:20:18.317786,2026-03-04 10:21:46.716592,0 days 00:01:28.398806,64,0.41822652477536626,256,0.0014351336641905174,3,8.570108634347277e-06,PRUNED
17,0.8116216915251315,2026-03-04 10:21:46.717544,2026-03-04 10:28:51.203296,0 days 00:07:04.485752,64,0.0012173997993923658,512,0.0036223837288074817,2,5.138104427171102e-05,COMPLETE
18,0.693163203724459,2026-03-04 10:28:51.204299,2026-03-04 10:30:43.182139,0 days 00:01:51.977840,128,0.16444961222155519,512,0.003992575722135028,5,6.551572592715354e-05,PRUNED
19,0.7391154409862919,2026-03-04 10:30:43.183036,2026-03-04 10:31:53.555877,0 days 00:01:10.372841,256,0.23496880506470988,512,0.0005004412346951191,3,1.025633367194023e-05,PRUNED
20,0.7628243814121907,2026-03-04 10:31:53.556799,2026-03-04 10:33:48.869701,0 days 00:01:55.312902,64,0.16654984859470418,256,0.006295495134196235,2,3.7095400597837265e-06,PRUNED
21,0.7714458142943357,2026-03-04 10:33:48.870592,2026-03-04 10:36:21.226983,0 days 00:02:32.356391,64,0.002574409423208087,512,0.0032960969406793422,2,4.683820950986504e-05,PRUNED
22,0.8123976204845246,2026-03-04 10:36:21.228069,2026-03-04 10:43:26.675213,0 days 00:07:05.447144,64,0.06263432317094406,512,0.0015382567819486122,2,1.8748970673368927e-05,COMPLETE
23,0.7498060177601518,2026-03-04 10:43:26.676299,2026-03-04 10:45:29.944217,0 days 00:02:03.267918,64,0.06626341192073978,512,0.001436994722405901,3,1.1525360186407114e-05,PRUNED
24,0.7794637468747306,2026-03-04 10:45:29.945050,2026-03-04 10:48:44.409303,0 days 00:03:14.464253,64,0.12602103289377264,512,0.0018052086338174868,2,3.474799132283153e-05,PRUNED
25,0.7384257263557203,2026-03-04 10:48:44.410153,2026-03-04 10:50:27.600987,0 days 00:01:43.190834,64,0.05000602335536251,512,0.0007397165041086978,3,1.6414410784653603e-05,PRUNED
26,0.7748081731183722,2026-03-04 10:50:27.602013,2026-03-04 10:53:44.092291,0 days 00:03:16.490278,64,0.2044704756188075,512,0.0032201023710567854,2,8.830296486339591e-05,PRUNED
27,0.736442796792827,2026-03-04 10:53:44.093273,2026-03-04 10:55:27.665802,0 days 00:01:43.572529,64,0.10930649409355073,512,0.007183925435273294,3,3.537627737770229e-05,PRUNED
28,0.7212690749202517,2026-03-04 10:55:27.666705,2026-03-04 10:56:26.599287,0 days 00:00:58.932582,256,0.29197174621540456,256,0.004347907521338733,5,3.959567228853436e-06,PRUNED
29,0.7714458142943357,2026-03-04 10:56:26.600205,2026-03-04 10:58:01.573957,0 days 00:01:34.973752,128,0.09564231804928047,128,0.0026015029598173748,2,2.5605144926749124e-06,PRUNED
30,0.7336839382705406,2026-03-04 10:58:01.574911,2026-03-04 11:00:02.228446,0 days 00:02:00.653535,64,0.05920883495820678,512,0.0011268525169367046,4,1.3109596881806472e-05,PRUNED
31,0.808259332701095,2026-03-04 11:00:02.229514,2026-03-04 11:07:06.009931,0 days 00:07:03.780417,64,0.0012262480818719362,512,0.0027996356702997354,2,2.6594194160675473e-05,COMPLETE
