number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_dim,params_lr,params_num_layers,params_weight_decay,state
0,0.7773776395482076,2026-03-14 09:33:35.413159,2026-03-14 09:38:29.752599,0 days 00:04:54.339440,256,0.12058105927693846,512,0.0001930184506094651,3,1.238078597778804e-06,COMPLETE
1,0.755770175151416,2026-03-14 09:38:29.753707,2026-03-14 09:44:00.696847,0 days 00:05:30.943140,128,0.20273708231109294,64,0.0017768136888660687,4,0.0009915013417580265,COMPLETE
2,0.7374365689965624,2026-03-14 09:44:00.698038,2026-03-14 09:48:03.173112,0 days 00:04:02.475074,256,0.4910699044479438,512,0.000846615347802109,2,5.327844717059386e-06,COMPLETE
3,0.7706662301522345,2026-03-14 09:48:03.174081,2026-03-14 09:57:55.920533,0 days 00:09:52.746452,64,0.17684616599667563,256,0.0012225421198603344,5,5.810806553129088e-06,COMPLETE
4,0.6942216402029792,2026-03-14 09:57:55.921538,2026-03-14 10:02:06.210089,0 days 00:04:10.288551,256,0.47284070790229504,64,0.00032457523616804455,5,0.00024846455296760443,COMPLETE
5,0.6781797348174824,2026-03-14 10:02:06.211232,2026-03-14 10:02:56.203647,0 days 00:00:49.992415,256,0.2703547683913449,64,0.0006554118742668634,5,0.0003758589864763171,PRUNED
6,0.7628089703715829,2026-03-14 10:02:56.204660,2026-03-14 10:10:54.238331,0 days 00:07:58.033671,64,0.20477172867602,512,0.0006124565819784397,3,0.0004506983862641659,COMPLETE
7,0.7348174824030119,2026-03-14 10:10:54.239420,2026-03-14 10:14:00.705407,0 days 00:03:06.465987,256,0.20277754335640186,512,0.00017459063554739557,4,0.00045300926275444606,PRUNED
8,0.6690129317400556,2026-03-14 10:14:00.706445,2026-03-14 10:16:12.239106,0 days 00:02:11.532661,64,0.3303407237970167,64,0.00014554872580993135,6,0.0002979996549777091,PRUNED
9,0.6902930103126534,2026-03-14 10:16:12.240101,2026-03-14 10:17:02.852239,0 days 00:00:50.612138,256,0.0679531063970234,128,0.009269775568327,5,8.911035299801411e-05,PRUNED
10,0.6881650024553937,2026-03-14 10:17:02.853104,2026-03-14 10:17:55.747819,0 days 00:00:52.894715,128,0.03494444554138701,256,0.0033078238800023545,2,1.013164360907654e-06,PRUNED
11,0.7705025372401375,2026-03-14 10:17:55.748859,2026-03-14 10:25:34.504192,0 days 00:07:38.755333,64,0.11130603299206746,256,0.0020098388917002847,3,5.4254019689178145e-06,COMPLETE
12,0.7744311671304632,2026-03-14 10:25:34.505196,2026-03-14 10:34:22.376751,0 days 00:08:47.871555,64,0.13582578132917067,256,0.00029204591669403074,4,1.2209819491382395e-06,COMPLETE
13,0.7795056474054674,2026-03-14 10:34:22.377823,2026-03-14 10:42:23.437226,0 days 00:08:01.059403,64,0.08575755454877926,512,0.0002921333931038656,3,1.0321622615229567e-06,COMPLETE
14,0.7791782615812736,2026-03-14 10:42:23.438491,2026-03-14 10:48:15.415901,0 days 00:05:51.977410,128,0.0016961354089891634,512,0.00010147067045895452,3,1.845464948752084e-05,COMPLETE
15,0.7775413324603044,2026-03-14 10:48:15.416819,2026-03-14 10:54:06.180918,0 days 00:05:50.764099,128,0.02275938139758158,512,0.00010284418097784848,3,1.7478134050929253e-05,COMPLETE
16,0.7046979865771812,2026-03-14 10:54:06.181913,2026-03-14 10:55:09.765096,0 days 00:01:03.583183,128,0.022347808921252234,128,0.0003162315356842791,2,2.8151957096813684e-05,PRUNED
17,0.6966770338844328,2026-03-14 10:55:09.766040,2026-03-14 10:56:19.788928,0 days 00:01:10.022888,128,0.37081452964296524,512,0.00010754326404794827,3,8.433949191622273e-05,PRUNED
18,0.6983139630054018,2026-03-14 10:56:19.789954,2026-03-14 10:57:48.229252,0 days 00:01:28.439298,64,0.08088126551665405,512,0.00044219001041199155,2,1.1626670742660903e-05,PRUNED
19,0.7790145686691766,2026-03-14 10:57:48.230132,2026-03-14 11:03:38.917442,0 days 00:05:50.687310,128,0.00036078339084071043,512,0.00018621009166563867,3,2.6029801310403594e-06,COMPLETE
20,0.6958585693239483,2026-03-14 11:03:38.918545,2026-03-14 11:04:46.993098,0 days 00:01:08.074553,128,0.26211671295600336,128,0.0002512434443002769,4,5.254252416064751e-05,PRUNED
21,0.7813062694385333,2026-03-14 11:04:46.994038,2026-03-14 11:10:39.922227,0 days 00:05:52.928189,128,0.017354246289126726,512,0.0001729335019928952,3,2.027562538549378e-06,COMPLETE
22,0.7863807497135374,2026-03-14 11:10:39.923283,2026-03-14 11:16:33.208945,0 days 00:05:53.285662,128,0.0659783242256632,512,0.00013045338154165455,3,2.403767811471815e-06,COMPLETE
23,0.699787199214274,2026-03-14 11:16:33.209920,2026-03-14 11:17:37.697716,0 days 00:01:04.487796,128,0.060241117523614295,512,0.0004845252085136232,2,2.468151216286638e-06,PRUNED
24,0.6901293174005566,2026-03-14 11:17:37.698627,2026-03-14 11:18:55.565167,0 days 00:01:17.866540,128,0.14201106598435387,512,0.00022150753413110105,3,2.253972646413731e-06,PRUNED
25,0.7107546243247668,2026-03-14 11:18:55.566242,2026-03-14 11:21:10.906620,0 days 00:02:15.340378,64,0.10282232808874615,512,0.00013712289543665093,4,3.933735045686923e-06,PRUNED
26,0.701424128335243,2026-03-14 11:21:10.907639,2026-03-14 11:22:22.038558,0 days 00:01:11.130919,128,0.049952106286099,512,0.0003986965981455736,3,1.8004281387708054e-06,PRUNED
